name,country,state,city,logo,rulesets,website,wftdaWebsite,tags,isDeleted,lat,lng
Circle City Roller Derby,us,,"Indianapolis, IN, us",/img/leagues/WFTDA/circle-city-roller-derby.png,WFTDA,,https://wftda.com/wftda-leagues/circle-city-roller-derby/,[],FALSE,39.7683331,-86.1583502
Classic City Roller Derby,us,,"Athens, GA, us",/img/leagues/WFTDA/classic-city-rollergirls.png,WFTDA,,https://wftda.com/wftda-leagues/classic-city-roller-derby/,[],FALSE,33.9597677,-83.376398
Golden City Rollers,za,,"Johannesburg, za",/img/leagues/WFTDA/golden-city-rollers.png,WFTDA,,https://wftda.com/wftda-leagues/golden-city-rollers/,[],FALSE,-26.205,28.049722
Cologne Roller Derby,de,,"Cologne, de",/img/leagues/WFTDA/cologne-roller-derby.png,WFTDA,,https://wftda.com/wftda-leagues/cologne-roller-derby/,[],FALSE,50.938361,6.959974
Columbia Roller Derby,us,,"Columbia, SC, us",/img/leagues/WFTDA/Columbia-Roller-Derby.png,WFTDA,,https://wftda.com/wftda-leagues/columbia-roller-derby/,[],FALSE,34.000754,-81.0352313
CoMo Roller Derby,us,,"Columbia/Jefferson City, MO, us",/img/leagues/WFTDA/CoMo-Roller-Derby.png,WFTDA,,https://wftda.com/wftda-leagues/como-roller-derby/,[],FALSE,38.951883,-92.3337366
Confluence Crush Roller Derby,us,,"Metro East, IL, us",/img/leagues/WFTDA/Confluence-Crush-Roller-Derby.png,WFTDA,,https://wftda.com/wftda-leagues/confluence-crush-roller-derby/,[],FALSE,42.2645997,-89.036292
Connecticut Roller Derby,us,,"Waterbury, CT, us",/img/leagues/WFTDA/connecticut.png,WFTDA,,https://wftda.com/wftda-leagues/connecticut-roller-derby/,[],FALSE,41.5544372,-73.0470175
Convict City Rollers,au,,"Hobart, TAS, au",/img/leagues/WFTDA/convict-city-rollers.png,WFTDA,,https://wftda.com/wftda-leagues/convict-city-rollers/,[],FALSE,-42.8825088,147.3281233
Copenhagen Roller Derby,dk,,"Copenhagen, dk",/img/leagues/WFTDA/copenhagen-roller-derby.png,WFTDA,,https://wftda.com/wftda-leagues/copenhagen-roller-derby/,[],FALSE,55.6867243,12.5700724
Cornfed Roller Derby,us,,"Muncie, IN, us",/img/leagues/WFTDA/Cornfed-Roller-Derby.png,WFTDA,,https://wftda.com/wftda-leagues/cornfed-roller-derby/,[],FALSE,40.1936892,-85.3865271
Crime City Rollers,se,,"Malmö, se",/img/leagues/WFTDA/Crime-City-Rollers.png,WFTDA,,https://wftda.com/wftda-leagues/crime-city-rollers/,[],FALSE,55.6052931,13.0001566
